"код","Название"
"0742","Ветеринарные услуги"
"0763","Сельско-хозяйственные кооперативные общества"
"0780","Ландшафтные и садоводческие магазины"
"1520","Генеральные подрядчики - жилищное и торговое строительство"
"1711","Генеральные подрядчики по вентиляции, теплоснабжению, и водопроводу"
"1731","Подрядчики по электричеству"
"1740","Изоляция, мозаика, штукатурные работы, каменная кладка, облицовка плиткой, кафелем"
"1750","Подрядчики плотничных работ"
"1761","Кровельные и работы, наружная обшивка стен, подрядчики жестяницких работ"
"1771","Подрядчики бетонных работ"
"1799","Подрядчики, специализированная торговля - нигде более не классифицированные"
"2741","Разнообразные издательства/ печатное дело"
"2791","Набор текстов, шрифтов, таблиц и относящиеся к этому услуги"
"2842","Специальная обработка, полировка, санитария"
"3000","United airlines"
"3001","American Airlines"
"3002","Авиалинии, авиакомпании"
"3003","Авиалинии, авиакомпании"
"3004","Авиалинии, авиакомпании"
"3005","British Air"
"3006","Авиалинии, авиакомпании"
"3007","Air France"
"3008","Lufthansa"
"3009","AIR CANADA"
"3010","KLM"
"3011","Аэрофлот"
"3012","QANTAS AIRWAY"
"3013","Alitalia"
"3014","Авиалинии, авиакомпании"
"3015","SWISS INTERNATIONAL AIRLINES"
"3016","SAS"
"3017","SAFRICAN"
"3018","Авиалинии, авиакомпании"
"3019","Авиалинии, авиакомпании"
"3020","AIR INDIA"
"3021","Авиалинии, авиакомпании"
"3022","PHILIPPINE AIRLINES"
"3023","Авиалинии, авиакомпании"
"3024","Авиалинии, авиакомпании"
"3025","Авиалинии, авиакомпании"
"3026","BCAL (Br.Caledonian)"
"3027","Авиалинии, авиакомпании"
"3028","Air Malta"
"3029","SN Brussels Airlines"
"3030","Авиалинии, авиакомпании"
"3031","OlympicAir"
"3032","El Al"
"3033","Авиалинии, авиакомпании"
"3034","Etihad Airways"
"3035","TAP (Portugal)"
"3036","Авиалинии, авиакомпании"
"3037","EgyptAir"
"3038","Авиалинии, авиакомпании"
"3039","Авиалинии, авиакомпании"
"3040","Авиалинии, авиакомпании"
"3041","Авиалинии, авиакомпании"
"3042","Finnair"
"3043","AERLING"
"3044","Авиалинии, авиакомпании"
"3045","Авиалинии, авиакомпании"
"3046","Авиалинии, авиакомпании"
"3047","THY (Turkey)"
"3048","Royal air Maroc"
"3049","Авиалинии, авиакомпании"
"3050","Icelandair"
"3051","Austrian Air"
"3052","LanChile"
"3053","Авиалинии, авиакомпании"
"3054","Авиалинии, авиакомпании"
"3055","Авиалинии, авиакомпании"
"3056","Quebecaire"
"3057","VIRGIN AMER"
"3058","Delta"
"3059","Авиалинии, авиакомпании"
"3060","Авиалинии, авиакомпании"
"3061","Авиалинии, авиакомпании"
"3062","Авиалинии, авиакомпании"
"3063","U.S. Air"
"3064","Braniff"
"3065","Авиалинии, авиакомпании"
"3066","SOUTHWES"
